Name,Price,Year,Mileage,Transmission,Fuel Type,Seats,Owners,Doors,Engine
Nissan Qashqai,"£19,428",2021,"11,738 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.3
Nissan Qashqai,"£23,495",2023,"4,076 miles",Manual,Hybrid,5 seats,155.6 bhp,5 doors,1.3
Hyundai Tucson,"£16,999",2019,"27,341 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.6
Hyundai Tucson,"£32,367",2023,"8,325 miles",Semi-automatic,Hybrid,5 seats,226.6 bhp,5 doors,1.6
Toyota Yaris,"£16,490",2020,"19,182 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Honda Civic,"£17,149",2020,"31,508 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,N/A
Volkswagen ID.3,"£30,740",2023,"3,000 miles",Automatic,Electric,5 seats,201.2 bhp,5 doors,N/A
Volkswagen Tiguan,"£17,999",2021,"74,225 miles",Semi-automatic,Diesel,5 seats,4 owner(s),5 doors,2
Honda Civic,"£13,485",2020,"30,982 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Peugeot Rifter,"£16,250",2020,"29,663 miles",Manual,Diesel,7 seats,1 owner(s),5 doors,1.5
Volkswagen Tiguan Allspace,"£25,499",2021,"23,523 miles",Semi-automatic,Petrol,7 seats,1 owner(s),5 doors,1.5
Honda Jazz,"£19,489",2021,"22,415 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Hyundai Bayon,"£18,749",2023,"4,191 miles",Semi-automatic,Hybrid,5 seats,99.2 bhp,5 doors,1
Renault Megane,"£17,400",2021,"10,935 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.6
Renault Arkana,"£17,900",2022,"9,265 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),4 doors,1.6
Renault Clio,"£14,350",2021,"5,568 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
SEAT Ibiza,"£13,640",2020,"12,577 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Honda Civic,"£16,350",2018,"16,665 miles",Automatic,Petrol,5 seats,2 owner(s),5 doors,1
Toyota Yaris,"£14,990",2019,"13,065 miles",Automatic,Hybrid,5 seats,2 owner(s),5 doors,1.5
Volvo XC40,"£22,250",2019,"21,210 miles",Semi-automatic,Petrol,5 seats,2 owner(s),5 doors,1.5
Hyundai i20,"£18,749",2023,"5,303 miles",Manual,Hybrid,5 seats,1 owner(s),5 doors,1
Ford Fiesta,"£16,749",2023,"1,651 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
