Name,Price,Year,Mileage,Transmission,Fuel Type,Seats,Owners,Doors,Engine,Brand
Nissan Qashqai,19428.0,2021,11738.0,Semi-automatic,Petrol,5.0,1.0,5.0,1.3,Nissan
Hyundai Tucson,16999.0,2019,27341.0,Semi-automatic,Petrol,5.0,1.0,5.0,1.6,Hyundai
Toyota Yaris,16490.0,2020,19182.0,Automatic,Hybrid,5.0,1.0,5.0,1.5,Toyota
Honda Civic,17149.0,2020,31508.0,Manual,Petrol,5.0,1.0,5.0,,Honda
Volkswagen Tiguan,17999.0,2021,74225.0,Semi-automatic,Diesel,5.0,4.0,5.0,2.0,Volkswagen
Honda Civic,13485.0,2020,30982.0,Manual,Petrol,5.0,1.0,5.0,1.0,Honda
Peugeot Rifter,16250.0,2020,29663.0,Manual,Diesel,7.0,1.0,5.0,1.5,Peugeot
Volkswagen Tiguan Allspace,25499.0,2021,23523.0,Semi-automatic,Petrol,7.0,1.0,5.0,1.5,Volkswagen
Honda Jazz,19489.0,2021,22415.0,Automatic,Hybrid,5.0,1.0,5.0,1.5,Honda
Renault Megane,17400.0,2021,10935.0,Automatic,Hybrid,5.0,1.0,5.0,1.6,Renault
Renault Arkana,17900.0,2022,9265.0,Semi-automatic,Hybrid,5.0,1.0,4.0,1.6,Renault
Renault Clio,14350.0,2021,5568.0,Manual,Petrol,5.0,1.0,5.0,1.0,Renault
SEAT Ibiza,13640.0,2020,12577.0,Manual,Petrol,5.0,1.0,5.0,1.0,SEAT
Honda Civic,16350.0,2018,16665.0,Automatic,Petrol,5.0,2.0,5.0,1.0,Honda
Toyota Yaris,14990.0,2019,13065.0,Automatic,Hybrid,5.0,2.0,5.0,1.5,Toyota
Volvo XC40,22250.0,2019,21210.0,Semi-automatic,Petrol,5.0,2.0,5.0,1.5,Volvo
Hyundai i20,18749.0,2023,5303.0,Manual,Hybrid,5.0,1.0,5.0,1.0,Hyundai
Ford Fiesta,16749.0,2023,1651.0,Manual,Petrol,5.0,1.0,5.0,1.0,Ford
Hyundai i20,15249.0,2022,13504.0,Manual,Hybrid,5.0,1.0,5.0,1.0,Hyundai
Volkswagen Tiguan Allspace,25499.0,2021,23523.0,Semi-automatic,Petrol,7.0,1.0,5.0,1.5,Volkswagen
Renault Megane,17400.0,2021,10935.0,Automatic,Hybrid,5.0,1.0,5.0,1.6,Renault
Renault Arkana,17900.0,2022,9265.0,Semi-automatic,Hybrid,5.0,1.0,4.0,1.6,Renault
Honda Civic,16350.0,2018,16665.0,Automatic,Petrol,5.0,2.0,5.0,1.0,Honda
